duration,amplitude_max,dominant_frequency,spectral_centroid,zero_crossing_rate,file_name,duration_seconds,label
7.130022675736962,0.16063178,801.2597238212152,3141.6823668463776,0.1474736201298701,IMG_0203 2.wav,7.130022675736962,short
3.92,0.12822436,49.48979591836735,2586.701424224882,0.1201489691198224,IMG_6928.wav,3.92,short
5.490022675736961,0.14081374,46.08359836437983,2220.629242326389,0.1003345859704641,IMG_6900.wav,5.490022675736961,short
14.58,0.20845935,441.22085048010973,2712.291789949299,0.1275992423865445,IMG_6914.wav,14.58,long
7.2700226757369615,0.0667638,59.83475147220282,2670.5266572334685,0.1131661773487261,IMG_0201 2.wav,7.2700226757369615,short
8.170022675736961,0.22791122,82.37431237475646,2064.997838043018,0.0646029385653409,IMG_6294.wav,8.170022675736961,medium
21.8,0.3185408,763.2568807339449,2591.549121360264,0.1229381947217784,IMG_0145 2.wav,21.8,long
13.9,0.19022098,797.5539568345323,3006.526600129422,0.1765393494365609,IMG_9170.wav,13.9,long
17.0,0.23034418,877.7647058823529,3039.745237208328,0.1941327645378581,IMG_9164.wav,17.0,long
11.5,0.045574613,64.0,2314.921942729951,0.0737029044858871,IMG_9997 2.wav,11.5,medium
11.7,0.23963076,245.81196581196576,2695.6266541857644,0.1473621186755952,IMG_9158.wav,11.7,medium
22.9,0.47484773,770.9170305676855,2227.324851237152,0.0945934848340932,IMG_0178 2.wav,22.9,long
6.130022675736962,0.10159807,840.7799240938986,2785.892899074283,0.1145296963778409,IMG_0185 2.wav,6.130022675736962,short
11.810022675736962,0.22392297,348.77155726908614,2746.338139350858,0.1094191275785854,IMG_6690.wav,11.810022675736962,medium
12.93002267573696,0.12802096,346.48044418411325,3035.940386231947,0.1399438608056553,IMG_6684.wav,12.93002267573696,long
7.090022675736962,0.10394162,46.262193366808454,1698.610126521241,0.0466819214665032,IMG_6874.wav,7.090022675736962,short
8.6,0.3099055,894.3023255813953,3153.9353362162024,0.1866247788915094,IMG_9206.wav,8.6,medium
9.470022675736962,0.109173566,149.6300535404714,2311.5105970883947,0.1021740483302696,IMG_0020 2.wav,9.470022675736962,medium
