duration,amplitude_max,dominant_frequency,spectral_centroid,zero_crossing_rate,file_name
18.0,0.5310669,874.9444444444443,1150.620149222545,0.06747467984858248,IMG_9166.wav
18.0,0.43911743,1077.8333333333333,3337.7549746472846,0.20336096065560566,IMG_9199.wav
18.0,0.8928833,108.22222222222221,897.7325269392645,0.02914586018041237,IMG_6296.wav
18.0,0.04055786,301.05555555555554,1892.8877910622423,0.10302356837951031,IMG_9995 2.wav
18.0,0.48989868,764.0555555555555,2260.4079933990133,0.1010521957554768,IMG_0147 2.wav
18.0,0.18060303,160.61111111111111,980.8894135672749,0.04486901981314433,IMG_6902.wav
18.0,0.31948853,68.11111111111111,2072.013076940996,0.08798689694748711,IMG_6916.wav
18.0,0.16061401,801.2222222222222,1259.2394998553534,0.05855159169619845,IMG_0203 2.wav
18.0,0.12823486,208.0,565.9551559877041,0.026185969716494846,IMG_6928.wav
18.0,0.1408081,46.11111111111111,682.1606616096814,0.03067236831507732,IMG_6900.wav
18.0,0.20843506,457.16666666666663,2201.8398614768244,0.10328595662854381,IMG_6914.wav
18.0,0.06677246,62.22222222222222,1093.2405090460238,0.0458178962628866,IMG_0201 2.wav
18.0,0.22793579,82.55555555555556,939.0658334524472,0.029333999476481958,IMG_6294.wav
18.0,0.31851196,763.3888888888888,2551.5502268485634,0.12539263853092783,IMG_0145 2.wav
18.0,0.19024658,797.5555555555555,2330.776424459781,0.1363965850515464,IMG_9170.wav
18.0,0.23034668,877.8333333333333,2876.658144844919,0.18342197064271906,IMG_9164.wav
18.0,0.04559326,63.33333333333333,1498.6938879588413,0.04711599448292526,IMG_9997 2.wav
18.0,0.23965454,245.16666666666666,1756.392996546163,0.09575598018685567,IMG_9158.wav
18.0,0.47485352,770.8888888888888,2191.4517844661636,0.09440943137886598,IMG_0178 2.wav
18.0,0.10159302,840.8333333333333,963.0796386065498,0.039121647471005154,IMG_0185 2.wav
18.0,0.22390747,348.77777777777777,1816.3197406900686,0.07178237757731959,IMG_6690.wav
